directions,hidden,id,lat,lon,name,showDestinationSelector,route
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34410,45.2948399,-66.0416899,283 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34412,45.29317,-66.0423299,255 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34415,45.2909299,-66.04324,223 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34417,45.28883,-66.0456699,Brett's - 195 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34537,45.2876099,-66.0471,175 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34419,45.28608,-66.0488499,125 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34421,45.2851999,-66.0498899,55 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34423,45.2822099,-66.05345,Foot Of Waterloo Street ( Westbound ),True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34425,45.28025,-66.0546899,Service Canada - Waterloo Street,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34426,45.2787299,-66.05562,Cathedral Church,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34429,45.2769899,-66.0550099,95 Prince Edward Street,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34430,45.2757599,-66.0563299,15 Prince Edward Street,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP35180,45.2741099,-66.05897,King's Square North,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34432,45.2733599,-66.06009,King & Germain St.,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34329,45.2729499,-66.06288,City Hall,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34542,45.2744299,-66.06493,Mercantile Center,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34435,45.2764599,-66.07079,Main Street North,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34437,45.2753799,-66.07661,McDonalds ( 399 Main Street North ),True,1A
